company_urls,company_name,founded_date,batch,team_size,status,location,slogan,company_website_url,company_types,founder_1,founder_2,founder_3
https://www.ycombinator.com/companies/observant-ai,observant-ai,2019,Winter 2018,5,Active,San Francisco,iPhone-based driver monitoring for commercial fleets.,https://www.observantai.com/,"AUTONOMOUS-TRUCKING, HARD-TECH, MACHINE-LEARNING, SAAS","Dave Schukin
Founder/CEO
Co-founder and CEO at Observant","Daniel DeCovnick
Founder/CTO
Co-founder and CTO at Observant",Not available
https://www.ycombinator.com/companies/observe-ai,observe-ai,2017,Winter 2018,240,Active,San Francisco,Contact center AI platform.,https://observe.ai/,"SAAS, CUSTOMER-SERVICE, AI","Swapnil Jain
Founder/CEO",Not available,Not available
https://www.ycombinator.com/companies/ochre-bio,ochre-bio,2019,Winter 2020,50,Active,"Oxford, United Kingdom",RNA medicines for liver diseases,https://www.ochre-bio.com/,"BIOTECH, GENOMICS","Quin Wills
Founder/CSO",Not available,Not available
https://www.ycombinator.com/companies/octavewealth,octavewealth,Not available,Summer 2012,2,Active,San Francisco,The 401(k) that helps you grow,https://octavewealth.com/,"FINANCE, INVESTING","Rikin Shah
Founder/CEO",Not available,Not available
https://www.ycombinator.com/companies/octifi,octifi,2019,Winter 2021,11,Acquired,"Singapore, Singapore",Buy Now Pay Later for Southeast Asia,https://www.octifi.com/,FINTECH,"Ed Chin
Founder
Ed Chin, based in Singapore, pioneered AI-driven credit underwriting for ""buy now pay later"" platform OctiFi (YC W21), driving its acquisition by Latitude Financial. A Yale graduate in Economics and Mathematics, Ed previously traded billions in distressed credit on Wall Street. Now, he's leveraging his expertise to revolutionize green asset financing across APAC with a new credit-focused platform backed by climate tech investors.","Amit Kumar
Founder
I've strong experience in building and leading high performance engineering teams. Backend engineering comes easy to me, UI and UX are close to my heart and I keep a great deal of focus on how things are presented to the user.",Not available
https://www.ycombinator.com/companies/octolane-ai,octolane-ai,2024,Winter 2024,8,Active,Not available,Building AI-first Salesforce,https://www.octolane.com/,Not available,"One Chowdhury
Founder
One's first startup was acquired in his freshman year. During this time, he grew the traffic from 0 to over 300K per month and gained 6,000+ registered users. He built search analytics, AI recommendation and a GPT4 powered doc search from design to ship at Mintlify (YC W22) as their first intern. He shares his journey as a founder on Twitter - ""Coffee with One"". Currently, One is developing Octolane AI (YC W24), an AI Sales CRM designed to autonomously find customers and book demo calls at scale","Md Abdul Halim Rafi
Founder
Rafi's first company was acquired in 2022, where he grew it to 300,000 monthly visitors and 6,000 users. He built a B2B platform used by over 5,000 brands. Currently, Rafi is building the AI Sales CRM, Octolane AI (YC W24), designed to autonomously find customers and book demo calls at scale.",Not available
https://www.ycombinator.com/companies/octopart,octopart,Not available,Winter 2007,11,Acquired,New York,Octopart is a search engine for electronic components,http://octopart.com/,ELECTRONICS,"Sam Wurzel
Founder/CEO
Co-founder of Octopart (YC W07).","Andres Morey
Founder
Co-founder Octopart (WC07)","Harish Agarwal
Founder/CTO"
https://www.ycombinator.com/companies/oda,oda,2019,Winter 2020,9,Active,"Los Angeles, CA",AI Agent for Home Design,https://www.odastudio.ai/,"MACHINE-LEARNING, COMPUTER-VISION, E-COMMERCE, AI-ASSISTANT","Mert Karakus
Founder","Ege Ozgirin
Founder",Not available
https://www.ycombinator.com/companies/oddsview,oddsview,2024,Winter 2024,5,Active,New York,The Bloomberg Terminal of Sports Betting,https://oddsview.com/,"SPORTS-TECH, CONSUMER","Davis Tong
Founder
OddsView co-founder and CEO

Davis graduated as an Applied Science engineer from the Rutgers Honors College and started at Amazon as a software engineer. He mostly notably developed the data pipeline currently powering the Comparison Widget on 75% of product pages.","Ajay Koritala
Founder
Ajay is a Co-Founder at OddsView. He graduated with a degree in Mathematics and Computer Science from the Rutgers University Honors College. After graduating, he worked on the Visual Innovation Team at Amazon where he helped build a virtual photo studio.","Akaash Patel
Founder
OddsView co-founder. Akaash graduated from Rutgers Honors college in 2021 and worked at Amazon in their Live streaming shopping startup team Amazon Live. He has experience in product design with some personal projects reaching 5k+ daily returning users."
https://www.ycombinator.com/companies/odigos-technologies-inc,odigos-technologies-inc,2023,Winter 2023,16,Active,Boston,Enterprise-Grade OpenTelemetry,https://odigos.io/,Not available,"Ari Recht
Founder","Eden Federman
Founder
I love eBPF and OpenTelemetry. Working on helping developers fix issues faster.",Not available
